epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1963.6,0.74039,0.45225,1.23976,0.9907,0.989,0.99031,0.79572,0.77443,0.31803,1.35481,0.000102465,0.000102465,0.000102465
124,1979.87,0.73426,0.45031,1.23002,0.98929,0.9871,0.98917,0.79662,0.77457,0.31872,1.36086,9.89932e-05,9.89932e-05,9.89932e-05
125,1996.29,0.74129,0.45416,1.24531,0.99161,0.98752,0.99041,0.79761,0.77522,0.31709,1.35711,9.55216e-05,9.55216e-05,9.55216e-05
126,2012.84,0.73719,0.44898,1.2411,0.98763,0.98769,0.98905,0.7945,0.78319,0.32175,1.36465,9.205e-05,9.205e-05,9.205e-05
127,2028.83,0.73532,0.44268,1.23377,0.98976,0.98526,0.98933,0.79457,0.78218,0.32055,1.36706,8.85784e-05,8.85784e-05,8.85784e-05
128,2045.1,0.73224,0.44634,1.22927,0.98906,0.98779,0.98942,0.79558,0.78374,0.31896,1.35384,8.51068e-05,8.51068e-05,8.51068e-05
129,2061.15,0.72603,0.44107,1.22919,0.98984,0.98623,0.98893,0.79584,0.78413,0.31821,1.3592,8.16352e-05,8.16352e-05,8.16352e-05
130,2077.88,0.7316,0.44311,1.23546,0.99128,0.98832,0.99046,0.7931,0.78288,0.31802,1.36567,7.81636e-05,7.81636e-05,7.81636e-05
131,2094,0.72714,0.44726,1.23316,0.98948,0.98858,0.98918,0.79618,0.78405,0.31644,1.36844,7.4692e-05,7.4692e-05,7.4692e-05
132,2110.26,0.72797,0.44493,1.2303,0.98914,0.98936,0.98926,0.79591,0.78344,0.31661,1.36809,7.12204e-05,7.12204e-05,7.12204e-05
133,2125.39,0.72377,0.43671,1.2257,0.98766,0.98572,0.9894,0.79217,0.78828,0.31842,1.36763,6.77488e-05,6.77488e-05,6.77488e-05
134,2139.24,0.72257,0.44466,1.22483,0.98793,0.98884,0.98956,0.79383,0.78246,0.31682,1.35566,6.42772e-05,6.42772e-05,6.42772e-05
135,2155.12,0.72879,0.44832,1.22495,0.98777,0.98731,0.98927,0.7943,0.78296,0.31777,1.36318,6.08056e-05,6.08056e-05,6.08056e-05
136,2171.22,0.72356,0.4424,1.22392,0.98823,0.98665,0.98957,0.79589,0.77845,0.31507,1.36668,5.7334e-05,5.7334e-05,5.7334e-05
137,2187.69,0.72177,0.43683,1.22504,0.9888,0.9902,0.99069,0.79806,0.77922,0.31406,1.35949,5.38624e-05,5.38624e-05,5.38624e-05
138,2204.06,0.71873,0.43705,1.22008,0.98733,0.98899,0.99074,0.79561,0.78115,0.31556,1.36107,5.03908e-05,5.03908e-05,5.03908e-05
139,2220.11,0.72117,0.44293,1.22153,0.98824,0.98872,0.99079,0.79615,0.78316,0.31453,1.35641,4.69192e-05,4.69192e-05,4.69192e-05
140,2236.14,0.72054,0.43791,1.22136,0.99017,0.98609,0.99051,0.79384,0.78424,0.31617,1.36133,4.34476e-05,4.34476e-05,4.34476e-05
141,2253.4,0.62031,0.35664,1.15247,0.98854,0.98831,0.99066,0.79198,0.78665,0.32085,1.37088,3.9976e-05,3.9976e-05,3.9976e-05
142,2270.07,0.61004,0.34806,1.14383,0.99115,0.98845,0.99069,0.79356,0.78732,0.31894,1.37484,3.65044e-05,3.65044e-05,3.65044e-05
143,2282.16,0.61229,0.34886,1.14553,0.98886,0.98896,0.99076,0.79525,0.78734,0.31811,1.37484,3.30328e-05,3.30328e-05,3.30328e-05
144,2295.89,0.60197,0.34214,1.13277,0.98805,0.98877,0.98972,0.79387,0.78649,0.31805,1.37573,2.95612e-05,2.95612e-05,2.95612e-05
145,2312.36,0.60091,0.3428,1.13463,0.98811,0.99114,0.98969,0.795,0.78859,0.31757,1.37815,2.60896e-05,2.60896e-05,2.60896e-05
146,2327.58,0.59835,0.34042,1.1384,0.98849,0.99059,0.9895,0.7932,0.78689,0.31768,1.37664,2.2618e-05,2.2618e-05,2.2618e-05
147,2342.26,0.59912,0.34307,1.13732,0.98821,0.98998,0.98964,0.79404,0.78733,0.31907,1.37783,1.91464e-05,1.91464e-05,1.91464e-05
148,2358.07,0.60049,0.34458,1.13859,0.98876,0.98907,0.98953,0.79377,0.78548,0.31788,1.37344,1.56748e-05,1.56748e-05,1.56748e-05
149,2371.71,0.59722,0.34222,1.13068,0.98856,0.98909,0.9895,0.79495,0.78494,0.31719,1.37186,1.22032e-05,1.22032e-05,1.22032e-05
150,2382.64,0.59442,0.34118,1.13168,0.98867,0.98901,0.98951,0.79423,0.78504,0.31684,1.37597,8.7316e-06,8.7316e-06,8.7316e-06
